 #        t           theta             dtheta/dt=u       y_exact        Error Absoluto
  0.000000000E+00  0.000000000E+00  0.100000000E+01  0.000000000E+00
  0.340000000E+01  0.306736255E+01 -0.242203395E+00 -0.241421334E+00  0.782060429E-03
  0.350000000E+01  0.315343916E+01  0.714298412E-01  0.723342955E-01  0.904454314E-03
  0.360000000E+01  0.292684179E+01  0.377976296E+00  0.378916574E+00  0.940277797E-03
  0.370000000E+01  0.241004253E+01  0.647041081E+00  0.647921908E+00  0.880826717E-03
  0.380000000E+01  0.165428753E+01  0.851946143E+00  0.852673189E+00  0.727046364E-03
  0.390000000E+01  0.734515395E+00  0.972375420E+00  0.972865348E+00  0.489928587E-03
  0.400000000E+01 -0.258073489E+00  0.996389152E+00  0.996578996E+00  0.189843963E-03
  0.410000000E+01 -0.122506001E+01  0.921607630E+00  0.921462464E+00  0.145166589E-03
  0.420000000E+01 -0.207056496E+01  0.755447018E+00  0.754965015E+00  0.482002261E-03
  0.430000000E+01 -0.271075568E+01  0.514383882E+00  0.513598109E+00  0.785772865E-03
  0.440000000E+01 -0.308215819E+01  0.222321373E+00  0.221297967E+00  0.102340627E-02
  0.450000000E+01 -0.314795053E+01 -0.917809507E-01 -0.929481711E-01  0.116722043E-02
  0.460000000E+01 -0.290161338E+01 -0.396778614E+00 -0.397976691E+00  0.119807670E-02
  0.470000000E+01 -0.236757608E+01 -0.662430324E+00 -0.663538085E+00  0.110776138E-02
  0.480000000E+01 -0.159879395E+01 -0.862396469E+00 -0.863296780E+00  0.900311251E-03
  0.490000000E+01 -0.671497223E+00 -0.976850716E+00 -0.977442817E+00  0.592101071E-03
  0.500000000E+01  0.322367718E+00 -0.994445761E+00 -0.994656397E+00  0.210635918E-03
  0.510000000E+01  0.128425532E+01 -0.913438333E+00 -0.913230460E+00  0.207873082E-03
  0.520000000E+01  0.211879202E+01 -0.741861910E+00 -0.741239970E+00  0.621939327E-03
  0.530000000E+01  0.274323279E+01 -0.496730041E+00 -0.495741128E+00  0.988913310E-03
  0.540000000E+01  0.309566537E+01 -0.202349286E+00 -0.201079916E+00  0.126936950E-02
  0.550000000E+01  0.314114876E+01  0.112090962E+00  0.113522278E+00  0.143131690E-02
  0.560000000E+01  0.287517736E+01  0.415412746E+00  0.416866532E+00  0.145378587E-02
  0.570000000E+01  0.232412728E+01  0.677540971E+00  0.678870366E+00  0.132939449E-02
  0.580000000E+01  0.154264068E+01  0.872485414E+00  0.873551006E+00  0.106559160E-02
  0.590000000E+01  0.608207423E+00  0.980917679E+00  0.981602082E+00  0.684402674E-03
  0.600000000E+01 -0.386518579E+00  0.992087574E+00  0.992308230E+00  0.220655631E-03
  0.610000000E+01 -0.134290648E+01  0.904888905E+00  0.904607727E+00  0.281178150E-03
  0.620000000E+01 -0.216612812E+01  0.727969026E+00  0.727197783E+00  0.771243504E-03
  0.630000000E+01 -0.277456048E+01  0.478871296E+00  0.477672042E+00  0.119925440E-02
  0.640000000E+01 -0.310787863E+01  0.182295481E+00  0.180775833E+00  0.151964804E-02
  0.650000000E+01 -0.313303687E+01 -0.132351402E+00 -0.134047815E+00  0.169641236E-02
  0.660000000E+01 -0.284754492E+01 -0.433870938E+00 -0.435578015E+00  0.170707766E-02
  0.670000000E+01 -0.227971439E+01 -0.692366754E+00 -0.693912189E+00  0.154543474E-02
  0.680000000E+01 -0.148585124E+01 -0.882208817E+00 -0.883431479E+00  0.122266146E-02
  0.690000000E+01 -0.544672450E+00 -0.984574669E+00 -0.985341365E+00  0.766695309E-03
  0.700000000E+01  0.450499317E+00 -0.989315633E+00 -0.989535499E+00  0.219866627E-03
  0.710000000E+01  0.140098910E+01 -0.895962966E+00 -0.895597953E+00  0.365013017E-03
  0.720000000E+01  0.221255364E+01 -0.713774208E+00 -0.712844460E+00  0.929747611E-03
  0.730000000E+01  0.280472583E+01 -0.460815129E+00 -0.459398582E+00  0.141654720E-02
  0.740000000E+01  0.311879305E+01 -0.162168339E+00 -0.160394403E+00  0.177393598E-02
  0.750000000E+01  0.312361843E+01  0.152553824E+00  0.154515998E+00  0.196217438E-02
  0.760000000E+01  0.281872775E+01  0.452145509E+00  0.454103135E+00  0.195762624E-02
  0.770000000E+01  0.223435608E+01  0.706901523E+00  0.708657118E+00  0.175559536E-02
  0.780000000E+01  0.142844943E+01  0.891562670E+00  0.892933972E+00  0.137130165E-02
  0.790000000E+01  0.480918854E+00  0.987820215E+00  0.988659065E+00  0.838849237E-03
  0.800000000E+01 -0.514283251E+00  0.986131150E+00  0.986339392E+00  0.208241533E-03
  0.810000000E+01 -0.145847900E+01  0.886664295E+00  0.886204995E+00  0.459299964E-03
  0.820000000E+01 -0.225804931E+01  0.699283421E+00  0.698186145E+00  0.109727657E-02
  0.830000000E+01 -0.283371640E+01  0.442569103E+00  0.440928566E+00  0.164053670E-02
  0.840000000E+01 -0.312840424E+01  0.141976272E+00  0.139944349E+00  0.203192377E-02
  0.850000000E+01 -0.311289753E+01 -0.172689802E+00 -0.174918071E+00  0.222826972E-02
  0.860000000E+01 -0.278873806E+01 -0.470228856E+00 -0.472433964E+00  0.220510782E-02
  0.870000000E+01 -0.218807142E+01 -0.721139251E+00 -0.723098846E+00  0.195959427E-02
  0.880000000E+01 -0.137045928E+01 -0.900543120E+00 -0.902054420E+00  0.151129994E-02
  0.890000000E+01 -0.416973276E+00 -0.990653020E+00 -0.991553763E+00  0.900743167E-03
  0.900000000E+01  0.577843785E+00 -0.982535513E+00 -0.982721275E+00  0.185762098E-03
  0.910000000E+01  0.151535229E+01 -0.876996821E+00 -0.876432869E+00  0.563952374E-03
  0.920000000E+01  0.230259628E+01 -0.684502754E+00 -0.683229107E+00  0.127364751E-02
  0.930000000E+01  0.286152025E+01 -0.424140859E+00 -0.422269897E+00  0.187096199E-02
  0.940000000E+01  0.313670838E+01 -0.121727717E+00 -0.119434418E+00  0.229329844E-02
  0.950000000E+01  0.310087885E+01  0.192750940E+00  0.195245305E+00  0.249436450E-02
  0.960000000E+01  0.275758851E+01  0.488113460E+00  0.490562661E+00  0.244920090E-02
  0.970000000E+01  0.214087985E+01  0.735074038E+00  0.737231192E+00  0.215715434E-02
  0.980000000E+01  0.131190509E+01  0.909146469E+00  0.910788920E+00  0.164245114E-02
  0.990000000E+01  0.352862431E+00  0.993071956E+00  0.994024221E+00  0.952264343E-03
  0.100000000E+02 -0.641154422E+00  0.978530277E+00  0.978682697E+00  0.152419212E-03
