 #        t           theta             dtheta/dt=u       Energía        E_energía
  0.127000000E+01  0.112675081E+01 -0.345042936E+00  0.122417438E+01  0.254053978E-08
  0.128000000E+01  0.116003835E+01 -0.333608091E+00  0.122417438E+01  0.253503019E-08
  0.129000000E+01  0.119222989E+01 -0.321845822E+00  0.122417438E+01  0.252290810E-08
  0.130000000E+01  0.122329048E+01 -0.309767264E+00  0.122417438E+01  0.250438648E-08
  0.131000000E+01  0.125318609E+01 -0.297383896E+00  0.122417438E+01  0.247978393E-08
  0.132000000E+01  0.128188360E+01 -0.284707536E+00  0.122417438E+01  0.244952414E-08
  0.133000000E+01  0.130935092E+01 -0.271750325E+00  0.122417438E+01  0.241413045E-08
  0.134000000E+01  0.133555703E+01 -0.258524722E+00  0.122417438E+01  0.237422038E-08
  0.135000000E+01  0.136047208E+01 -0.245043488E+00  0.122417438E+01  0.233049824E-08
  0.136000000E+01  0.138406740E+01 -0.231319680E+00  0.122417438E+01  0.228374297E-08
  0.137000000E+01  0.140631563E+01 -0.217366631E+00  0.122417438E+01  0.223479746E-08
  0.138000000E+01  0.142719075E+01 -0.203197945E+00  0.122417438E+01  0.218455876E-08
  0.139000000E+01  0.144666817E+01 -0.188827475E+00  0.122417438E+01  0.213395812E-08
  0.140000000E+01  0.146472476E+01 -0.174269318E+00  0.122417438E+01  0.208395434E-08
  0.141000000E+01  0.148133895E+01 -0.159537789E+00  0.122417438E+01  0.203551043E-08
  0.142000000E+01  0.149649075E+01 -0.144647414E+00  0.122417438E+01  0.198958117E-08
  0.143000000E+01  0.151016183E+01 -0.129612910E+00  0.122417438E+01  0.194709715E-08
  0.144000000E+01  0.152233556E+01 -0.114449169E+00  0.122417438E+01  0.190894722E-08
  0.145000000E+01  0.153299706E+01 -0.991712399E-01  0.122417438E+01  0.187596538E-08
  0.146000000E+01  0.154213325E+01 -0.837943124E-01  0.122417438E+01  0.184891258E-08
  0.147000000E+01  0.154973288E+01 -0.683336972E-01  0.122417438E+01  0.182846760E-08
  0.148000000E+01  0.155578654E+01 -0.528048085E-01  0.122417438E+01  0.181520998E-08
  0.149000000E+01  0.156028675E+01 -0.372231451E-01  0.122417438E+01  0.180961357E-08
  0.150000000E+01  0.156322791E+01 -0.216042709E-01  0.122417438E+01  0.181203563E-08
  0.151000000E+01  0.156460637E+01 -0.596379638E-02  0.122417438E+01  0.182270998E-08
  0.152000000E+01  0.156442041E+01  0.968264128E-02  0.122417438E+01  0.184174542E-08
  0.153000000E+01  0.156267027E+01  0.253193975E-01  0.122417438E+01  0.186911908E-08
  0.154000000E+01  0.155935812E+01  0.409308396E-01  0.122417438E+01  0.190468175E-08
  0.155000000E+01  0.155448808E+01  0.565013665E-01  0.122417438E+01  0.194815453E-08
  0.156000000E+01  0.154806620E+01  0.720154280E-01  0.122417438E+01  0.199914085E-08
  0.157000000E+01  0.154010041E+01  0.874575436E-01  0.122417438E+01  0.205712691E-08
  0.158000000E+01  0.153060057E+01  0.102812322E+00  0.122417438E+01  0.212149343E-08
  0.159000000E+01  0.151957836E+01  0.118064480E+00  0.122417438E+01  0.219152874E-08
  0.160000000E+01  0.150704730E+01  0.133198859E+00  0.122417438E+01  0.226643726E-08
  0.161000000E+01  0.149302268E+01  0.148200447E+00  0.122417438E+01  0.234535613E-08
  0.162000000E+01  0.147752155E+01  0.163054391E+00  0.122417438E+01  0.242736986E-08
  0.163000000E+01  0.146056263E+01  0.177746018E+00  0.122417438E+01  0.251152299E-08
  0.164000000E+01  0.144216630E+01  0.192260852E+00  0.122417438E+01  0.259684074E-08
  0.165000000E+01  0.142235450E+01  0.206584626E+00  0.122417438E+01  0.268234279E-08
  0.166000000E+01  0.140115070E+01  0.220703301E+00  0.122417438E+01  0.276705858E-08
  0.167000000E+01  0.137857986E+01  0.234603082E+00  0.122417438E+01  0.285004553E-08
