 #        t           theta             dtheta/dt=u       y_exact        Error Absoluto
  0.900000000E+01  0.577843785E+00 -0.982535513E+00 -0.982721275E-02  0.972708300E+00
  0.910000000E+01  0.151535229E+01 -0.876996821E+00 -0.876432869E-02  0.868232493E+00
  0.920000000E+01  0.230259628E+01 -0.684502754E+00 -0.683229107E-02  0.677670463E+00
  0.930000000E+01  0.286152025E+01 -0.424140859E+00 -0.422269897E-02  0.419918160E+00
  0.940000000E+01  0.313670838E+01 -0.121727717E+00 -0.119434418E-02  0.120533373E+00
  0.950000000E+01  0.310087885E+01  0.192750940E+00  0.195245305E-02  0.190798487E+00
  0.960000000E+01  0.275758851E+01  0.488113460E+00  0.490562661E-02  0.483207833E+00
  0.970000000E+01  0.214087985E+01  0.735074038E+00  0.737231192E-02  0.727701726E+00
  0.980000000E+01  0.131190509E+01  0.909146469E+00  0.910788920E-02  0.900038579E+00
  0.990000000E+01  0.352862431E+00  0.993071956E+00  0.994024221E-02  0.983131714E+00
  0.100000000E+02 -0.641154422E+00  0.978530277E+00  0.978682697E-02  0.968743450E+00
