 #        t           S        I       R
  0.750000000E+02  0.699018834E+01  0.237032198E+01  0.990639490E+03
  0.751000000E+02  0.698936392E+01  0.234755718E+01  0.990663079E+03
  0.752000000E+02  0.698854752E+01  0.232501092E+01  0.990686442E+03
  0.753000000E+02  0.698773905E+01  0.230268111E+01  0.990709580E+03
  0.754000000E+02  0.698693844E+01  0.228056567E+01  0.990732496E+03
  0.755000000E+02  0.698614561E+01  0.225866253E+01  0.990755192E+03
  0.756000000E+02  0.698536048E+01  0.223696967E+01  0.990777670E+03
  0.757000000E+02  0.698458298E+01  0.221548507E+01  0.990799932E+03
  0.758000000E+02  0.698381303E+01  0.219420673E+01  0.990821980E+03
  0.759000000E+02  0.698305056E+01  0.217313268E+01  0.990843817E+03
  0.760000000E+02  0.698229550E+01  0.215226094E+01  0.990865444E+03
  0.761000000E+02  0.698154777E+01  0.213158958E+01  0.990886863E+03
  0.762000000E+02  0.698080729E+01  0.211111669E+01  0.990908076E+03
  0.763000000E+02  0.698007401E+01  0.209084035E+01  0.990929086E+03
  0.764000000E+02  0.697934785E+01  0.207075868E+01  0.990949893E+03
  0.765000000E+02  0.697862873E+01  0.205086981E+01  0.990970501E+03
  0.766000000E+02  0.697791660E+01  0.203117190E+01  0.990990912E+03
  0.767000000E+02  0.697721138E+01  0.201166310E+01  0.991011126E+03
  0.768000000E+02  0.697651300E+01  0.199234161E+01  0.991031145E+03
  0.769000000E+02  0.697582139E+01  0.197320563E+01  0.991050973E+03
  0.770000000E+02  0.697513650E+01  0.195425338E+01  0.991070610E+03
  0.771000000E+02  0.697445825E+01  0.193548310E+01  0.991090059E+03
  0.772000000E+02  0.697378659E+01  0.191689303E+01  0.991109320E+03
  0.773000000E+02  0.697312143E+01  0.189848146E+01  0.991128397E+03
  0.774000000E+02  0.697246273E+01  0.188024667E+01  0.991147291E+03
  0.775000000E+02  0.697181042E+01  0.186218696E+01  0.991166003E+03
  0.776000000E+02  0.697116443E+01  0.184430066E+01  0.991184535E+03
  0.777000000E+02  0.697052470E+01  0.182658609E+01  0.991202889E+03
  0.778000000E+02  0.696989118E+01  0.180904161E+01  0.991221067E+03
  0.779000000E+02  0.696926380E+01  0.179166560E+01  0.991239071E+03
  0.780000000E+02  0.696864250E+01  0.177445642E+01  0.991256901E+03
  0.781000000E+02  0.696802723E+01  0.175741249E+01  0.991274560E+03
  0.782000000E+02  0.696741791E+01  0.174053222E+01  0.991292050E+03
  0.783000000E+02  0.696681451E+01  0.172381403E+01  0.991309371E+03
  0.784000000E+02  0.696621695E+01  0.170725637E+01  0.991326527E+03
  0.785000000E+02  0.696562517E+01  0.169085770E+01  0.991343517E+03
  0.786000000E+02  0.696503914E+01  0.167461650E+01  0.991360344E+03
  0.787000000E+02  0.696445878E+01  0.165853125E+01  0.991377010E+03
  0.788000000E+02  0.696388404E+01  0.164260046E+01  0.991393516E+03
  0.789000000E+02  0.696331487E+01  0.162682264E+01  0.991409862E+03
  0.790000000E+02  0.696275122E+01  0.161119632E+01  0.991426052E+03
  0.791000000E+02  0.696219302E+01  0.159572006E+01  0.991442087E+03
  0.792000000E+02  0.696164023E+01  0.158039242E+01  0.991457967E+03
  0.793000000E+02  0.696109279E+01  0.156521195E+01  0.991473695E+03
  0.794000000E+02  0.696055065E+01  0.155017727E+01  0.991489272E+03
  0.795000000E+02  0.696001376E+01  0.153528695E+01  0.991504699E+03
  0.796000000E+02  0.695948207E+01  0.152053963E+01  0.991519978E+03
  0.797000000E+02  0.695895553E+01  0.150593392E+01  0.991535111E+03
  0.798000000E+02  0.695843408E+01  0.149146847E+01  0.991550097E+03
  0.799000000E+02  0.695791768E+01  0.147714194E+01  0.991564940E+03
  0.800000000E+02  0.695740628E+01  0.146295298E+01  0.991579641E+03
  0.801000000E+02  0.695689983E+01  0.144890027E+01  0.991594200E+03
  0.802000000E+02  0.695639828E+01  0.143498252E+01  0.991608619E+03
  0.803000000E+02  0.695590159E+01  0.142119842E+01  0.991622900E+03
  0.804000000E+02  0.695540970E+01  0.140754670E+01  0.991637044E+03
  0.805000000E+02  0.695492256E+01  0.139402608E+01  0.991651051E+03
  0.806000000E+02  0.695444015E+01  0.138063529E+01  0.991664925E+03
  0.807000000E+02  0.695396239E+01  0.136737311E+01  0.991678664E+03
  0.808000000E+02  0.695348926E+01  0.135423829E+01  0.991692272E+03
  0.809000000E+02  0.695302071E+01  0.134122961E+01  0.991705750E+03
  0.810000000E+02  0.695255669E+01  0.132834585E+01  0.991719097E+03
  0.811000000E+02  0.695209716E+01  0.131558583E+01  0.991732317E+03
  0.812000000E+02  0.695164207E+01  0.130294835E+01  0.991745410E+03
  0.813000000E+02  0.695119138E+01  0.129043224E+01  0.991758376E+03
  0.814000000E+02  0.695074505E+01  0.127803633E+01  0.991771219E+03
  0.815000000E+02  0.695030303E+01  0.126575946E+01  0.991783938E+03
  0.816000000E+02  0.694986529E+01  0.125360050E+01  0.991796534E+03
  0.817000000E+02  0.694943179E+01  0.124155831E+01  0.991809010E+03
  0.818000000E+02  0.694900247E+01  0.122963177E+01  0.991821366E+03
  0.819000000E+02  0.694857730E+01  0.121781978E+01  0.991833603E+03
  0.820000000E+02  0.694815624E+01  0.120612122E+01  0.991845723E+03
  0.821000000E+02  0.694773926E+01  0.119453502E+01  0.991857726E+03
  0.822000000E+02  0.694732630E+01  0.118306010E+01  0.991869614E+03
  0.823000000E+02  0.694691733E+01  0.117169538E+01  0.991881387E+03
  0.824000000E+02  0.694651232E+01  0.116043981E+01  0.991893048E+03
  0.825000000E+02  0.694611122E+01  0.114929233E+01  0.991904596E+03
  0.826000000E+02  0.694571399E+01  0.113825193E+01  0.991916034E+03
  0.827000000E+02  0.694532061E+01  0.112731755E+01  0.991927362E+03
  0.828000000E+02  0.694493102E+01  0.111648820E+01  0.991938581E+03
  0.829000000E+02  0.694454520E+01  0.110576285E+01  0.991949692E+03
  0.830000000E+02  0.694416311E+01  0.109514051E+01  0.991960696E+03
  0.831000000E+02  0.694378471E+01  0.108462019E+01  0.991971595E+03
  0.832000000E+02  0.694340996E+01  0.107420092E+01  0.991982389E+03
  0.833000000E+02  0.694303883E+01  0.106388171E+01  0.991993079E+03
  0.834000000E+02  0.694267129E+01  0.105366162E+01  0.992003667E+03
  0.835000000E+02  0.694230730E+01  0.104353969E+01  0.992014153E+03
  0.836000000E+02  0.694194682E+01  0.103351497E+01  0.992024538E+03
  0.837000000E+02  0.694158983E+01  0.102358654E+01  0.992034824E+03
  0.838000000E+02  0.694123628E+01  0.101375347E+01  0.992045010E+03
  0.839000000E+02  0.694088615E+01  0.100401484E+01  0.992055099E+03
  0.840000000E+02  0.694053939E+01  0.994369745E+00  0.992065091E+03
  0.841000000E+02  0.694019599E+01  0.984817291E+00  0.992074987E+03
  0.842000000E+02  0.693985590E+01  0.975356586E+00  0.992084788E+03
  0.843000000E+02  0.693951910E+01  0.965986750E+00  0.992094494E+03
  0.844000000E+02  0.693918554E+01  0.956706910E+00  0.992104108E+03
  0.845000000E+02  0.693885521E+01  0.947516202E+00  0.992113629E+03
  0.846000000E+02  0.693852806E+01  0.938413770E+00  0.992123058E+03
  0.847000000E+02  0.693820408E+01  0.929398767E+00  0.992132397E+03
  0.848000000E+02  0.693788322E+01  0.920470352E+00  0.992141646E+03
  0.849000000E+02  0.693756546E+01  0.911627695E+00  0.992150807E+03
  0.850000000E+02  0.693725076E+01  0.902869973E+00  0.992159879E+03
  0.851000000E+02  0.693693910E+01  0.894196369E+00  0.992168865E+03
  0.852000000E+02  0.693663045E+01  0.885606076E+00  0.992177763E+03
  0.853000000E+02  0.693632478E+01  0.877098294E+00  0.992186577E+03
  0.854000000E+02  0.693602206E+01  0.868672231E+00  0.992195306E+03
  0.855000000E+02  0.693572226E+01  0.860327102E+00  0.992203951E+03
  0.856000000E+02  0.693542535E+01  0.852062130E+00  0.992212513E+03
  0.857000000E+02  0.693513131E+01  0.843876546E+00  0.992220992E+03
  0.858000000E+02  0.693484010E+01  0.835769586E+00  0.992229390E+03
  0.859000000E+02  0.693455171E+01  0.827740496E+00  0.992237708E+03
  0.860000000E+02  0.693426609E+01  0.819788529E+00  0.992245945E+03
  0.861000000E+02  0.693398323E+01  0.811912943E+00  0.992254104E+03
  0.862000000E+02  0.693370310E+01  0.804113006E+00  0.992262184E+03
  0.863000000E+02  0.693342568E+01  0.796387990E+00  0.992270186E+03
  0.864000000E+02  0.693315092E+01  0.788737177E+00  0.992278112E+03
  0.865000000E+02  0.693287882E+01  0.781159854E+00  0.992285961E+03
  0.866000000E+02  0.693260935E+01  0.773655315E+00  0.992293735E+03
  0.867000000E+02  0.693234247E+01  0.766222861E+00  0.992301435E+03
  0.868000000E+02  0.693207817E+01  0.758861800E+00  0.992309060E+03
  0.869000000E+02  0.693181641E+01  0.751571446E+00  0.992316612E+03
  0.870000000E+02  0.693155718E+01  0.744351121E+00  0.992324092E+03
  0.871000000E+02  0.693130045E+01  0.737200152E+00  0.992331499E+03
  0.872000000E+02  0.693104620E+01  0.730117873E+00  0.992338836E+03
  0.873000000E+02  0.693079440E+01  0.723103624E+00  0.992346102E+03
  0.874000000E+02  0.693054502E+01  0.716156752E+00  0.992353298E+03
  0.875000000E+02  0.693029805E+01  0.709276610E+00  0.992360425E+03
  0.876000000E+02  0.693005347E+01  0.702462557E+00  0.992367484E+03
  0.877000000E+02  0.692981124E+01  0.695713958E+00  0.992374475E+03
  0.878000000E+02  0.692957134E+01  0.689030186E+00  0.992381398E+03
  0.879000000E+02  0.692933376E+01  0.682410616E+00  0.992388256E+03
  0.880000000E+02  0.692909847E+01  0.675854634E+00  0.992395047E+03
  0.881000000E+02  0.692886545E+01  0.669361628E+00  0.992401773E+03
  0.882000000E+02  0.692863467E+01  0.662930992E+00  0.992408434E+03
  0.883000000E+02  0.692840612E+01  0.656562130E+00  0.992415032E+03
  0.884000000E+02  0.692817977E+01  0.650254446E+00  0.992421566E+03
  0.885000000E+02  0.692795560E+01  0.644007354E+00  0.992428037E+03
  0.886000000E+02  0.692773360E+01  0.637820271E+00  0.992434446E+03
  0.887000000E+02  0.692751373E+01  0.631692622E+00  0.992440794E+03
  0.888000000E+02  0.692729599E+01  0.625623835E+00  0.992447080E+03
  0.889000000E+02  0.692708034E+01  0.619613346E+00  0.992453306E+03
  0.890000000E+02  0.692686677E+01  0.613660594E+00  0.992459473E+03
  0.891000000E+02  0.692665526E+01  0.607765025E+00  0.992465580E+03
  0.892000000E+02  0.692644578E+01  0.601926089E+00  0.992471628E+03
  0.893000000E+02  0.692623833E+01  0.596143243E+00  0.992477618E+03
  0.894000000E+02  0.692603287E+01  0.590415949E+00  0.992483551E+03
  0.895000000E+02  0.692582940E+01  0.584743671E+00  0.992489427E+03
  0.896000000E+02  0.692562788E+01  0.579125883E+00  0.992495246E+03
  0.897000000E+02  0.692542831E+01  0.573562061E+00  0.992501010E+03
  0.898000000E+02  0.692523066E+01  0.568051686E+00  0.992506718E+03
  0.899000000E+02  0.692503492E+01  0.562594246E+00  0.992512371E+03
  0.900000000E+02  0.692484106E+01  0.557189231E+00  0.992517970E+03
  0.901000000E+02  0.692464907E+01  0.551836139E+00  0.992523515E+03
  0.902000000E+02  0.692445892E+01  0.546534470E+00  0.992529007E+03
  0.903000000E+02  0.692427061E+01  0.541283731E+00  0.992534446E+03
  0.904000000E+02  0.692408412E+01  0.536083433E+00  0.992539832E+03
  0.905000000E+02  0.692389942E+01  0.530933091E+00  0.992545167E+03
  0.906000000E+02  0.692371650E+01  0.525832225E+00  0.992550451E+03
  0.907000000E+02  0.692353534E+01  0.520780360E+00  0.992555684E+03
  0.908000000E+02  0.692335593E+01  0.515777026E+00  0.992560867E+03
  0.909000000E+02  0.692317825E+01  0.510821756E+00  0.992566000E+03
  0.910000000E+02  0.692300227E+01  0.505914088E+00  0.992571084E+03
  0.911000000E+02  0.692282800E+01  0.501053567E+00  0.992576118E+03
  0.912000000E+02  0.692265540E+01  0.496239738E+00  0.992581105E+03
  0.913000000E+02  0.692248446E+01  0.491472153E+00  0.992586043E+03
  0.914000000E+02  0.692231517E+01  0.486750368E+00  0.992590934E+03
  0.915000000E+02  0.692214751E+01  0.482073943E+00  0.992595779E+03
  0.916000000E+02  0.692198147E+01  0.477442443E+00  0.992600576E+03
  0.917000000E+02  0.692181702E+01  0.472855436E+00  0.992605328E+03
  0.918000000E+02  0.692165416E+01  0.468312495E+00  0.992610033E+03
  0.919000000E+02  0.692149287E+01  0.463813196E+00  0.992614694E+03
  0.920000000E+02  0.692133313E+01  0.459357120E+00  0.992619310E+03
  0.921000000E+02  0.692117493E+01  0.454943852E+00  0.992623881E+03
  0.922000000E+02  0.692101825E+01  0.450572981E+00  0.992628409E+03
  0.923000000E+02  0.692086308E+01  0.446244099E+00  0.992632893E+03
  0.924000000E+02  0.692070940E+01  0.441956804E+00  0.992637334E+03
  0.925000000E+02  0.692055721E+01  0.437710696E+00  0.992641732E+03
  0.926000000E+02  0.692040648E+01  0.433505379E+00  0.992646088E+03
  0.927000000E+02  0.692025720E+01  0.429340462E+00  0.992650402E+03
  0.928000000E+02  0.692010936E+01  0.425215556E+00  0.992654675E+03
  0.929000000E+02  0.691996294E+01  0.421130277E+00  0.992658907E+03
  0.930000000E+02  0.691981793E+01  0.417084245E+00  0.992663098E+03
  0.931000000E+02  0.691967432E+01  0.413077082E+00  0.992667249E+03
  0.932000000E+02  0.691953209E+01  0.409108415E+00  0.992671359E+03
  0.933000000E+02  0.691939123E+01  0.405177875E+00  0.992675431E+03
  0.934000000E+02  0.691925173E+01  0.401285095E+00  0.992679463E+03
  0.935000000E+02  0.691911357E+01  0.397429712E+00  0.992683457E+03
  0.936000000E+02  0.691897674E+01  0.393611368E+00  0.992687412E+03
  0.937000000E+02  0.691884123E+01  0.389829705E+00  0.992691329E+03
  0.938000000E+02  0.691870702E+01  0.386084374E+00  0.992695209E+03
  0.939000000E+02  0.691857410E+01  0.382375023E+00  0.992699051E+03
  0.940000000E+02  0.691844247E+01  0.378701307E+00  0.992702856E+03
  0.941000000E+02  0.691831210E+01  0.375062885E+00  0.992706625E+03
  0.942000000E+02  0.691818298E+01  0.371459417E+00  0.992710358E+03
  0.943000000E+02  0.691805511E+01  0.367890568E+00  0.992714054E+03
  0.944000000E+02  0.691792847E+01  0.364356004E+00  0.992717716E+03
  0.945000000E+02  0.691780305E+01  0.360855398E+00  0.992721342E+03
  0.946000000E+02  0.691767883E+01  0.357388421E+00  0.992724933E+03
  0.947000000E+02  0.691755581E+01  0.353954752E+00  0.992728489E+03
  0.948000000E+02  0.691743398E+01  0.350554070E+00  0.992732012E+03
  0.949000000E+02  0.691731332E+01  0.347186059E+00  0.992735501E+03
  0.950000000E+02  0.691719382E+01  0.343850404E+00  0.992738956E+03
  0.951000000E+02  0.691707546E+01  0.340546796E+00  0.992742378E+03
  0.952000000E+02  0.691695825E+01  0.337274925E+00  0.992745767E+03
  0.953000000E+02  0.691684217E+01  0.334034488E+00  0.992749123E+03
  0.954000000E+02  0.691672720E+01  0.330825181E+00  0.992752448E+03
  0.955000000E+02  0.691661334E+01  0.327646707E+00  0.992755740E+03
  0.956000000E+02  0.691650058E+01  0.324498770E+00  0.992759001E+03
  0.957000000E+02  0.691638890E+01  0.321381074E+00  0.992762230E+03
  0.958000000E+02  0.691627830E+01  0.318293331E+00  0.992765428E+03
  0.959000000E+02  0.691616876E+01  0.315235253E+00  0.992768596E+03
  0.960000000E+02  0.691606027E+01  0.312206554E+00  0.992771733E+03
  0.961000000E+02  0.691595283E+01  0.309206952E+00  0.992774840E+03
  0.962000000E+02  0.691584642E+01  0.306236168E+00  0.992777917E+03
  0.963000000E+02  0.691574104E+01  0.303293925E+00  0.992780965E+03
  0.964000000E+02  0.691563667E+01  0.300379949E+00  0.992783983E+03
  0.965000000E+02  0.691553330E+01  0.297493968E+00  0.992786973E+03
  0.966000000E+02  0.691543093E+01  0.294635713E+00  0.992789933E+03
  0.967000000E+02  0.691532955E+01  0.291804919E+00  0.992792866E+03
  0.968000000E+02  0.691522914E+01  0.289001320E+00  0.992795770E+03
  0.969000000E+02  0.691512969E+01  0.286224657E+00  0.992798646E+03
  0.970000000E+02  0.691503120E+01  0.283474669E+00  0.992801494E+03
  0.971000000E+02  0.691493366E+01  0.280751102E+00  0.992804315E+03
  0.972000000E+02  0.691483706E+01  0.278053701E+00  0.992807109E+03
  0.973000000E+02  0.691474139E+01  0.275382214E+00  0.992809876E+03
  0.974000000E+02  0.691464664E+01  0.272736393E+00  0.992812617E+03
  0.975000000E+02  0.691455280E+01  0.270115992E+00  0.992815331E+03
  0.976000000E+02  0.691445987E+01  0.267520766E+00  0.992818019E+03
  0.977000000E+02  0.691436782E+01  0.264950473E+00  0.992820682E+03
  0.978000000E+02  0.691427667E+01  0.262404873E+00  0.992823318E+03
  0.979000000E+02  0.691418639E+01  0.259883730E+00  0.992825930E+03
  0.980000000E+02  0.691409697E+01  0.257386809E+00  0.992828516E+03
  0.981000000E+02  0.691400842E+01  0.254913877E+00  0.992831078E+03
  0.982000000E+02  0.691392072E+01  0.252464703E+00  0.992833615E+03
  0.983000000E+02  0.691383387E+01  0.250039059E+00  0.992836127E+03
  0.984000000E+02  0.691374785E+01  0.247636719E+00  0.992838615E+03
  0.985000000E+02  0.691366266E+01  0.245257460E+00  0.992841080E+03
  0.986000000E+02  0.691357828E+01  0.242901059E+00  0.992843521E+03
  0.987000000E+02  0.691349472E+01  0.240567298E+00  0.992845938E+03
  0.988000000E+02  0.691341196E+01  0.238255957E+00  0.992848332E+03
  0.989000000E+02  0.691333000E+01  0.235966823E+00  0.992850703E+03
  0.990000000E+02  0.691324883E+01  0.233699682E+00  0.992853051E+03
  0.991000000E+02  0.691316844E+01  0.231454322E+00  0.992855377E+03
  0.992000000E+02  0.691308882E+01  0.229230534E+00  0.992857681E+03
  0.993000000E+02  0.691300997E+01  0.227028112E+00  0.992859962E+03
  0.994000000E+02  0.691293187E+01  0.224846849E+00  0.992862221E+03
  0.995000000E+02  0.691285453E+01  0.222686542E+00  0.992864459E+03
  0.996000000E+02  0.691277793E+01  0.220546991E+00  0.992866675E+03
  0.997000000E+02  0.691270207E+01  0.218427996E+00  0.992868870E+03
  0.998000000E+02  0.691262693E+01  0.216329358E+00  0.992871044E+03
  0.999000000E+02  0.691255252E+01  0.214250884E+00  0.992873197E+03
  0.100000000E+03  0.691247883E+01  0.212192379E+00  0.992875329E+03
  0.100100000E+03  0.691240584E+01  0.210153650E+00  0.992877441E+03
  0.100200000E+03  0.691233356E+01  0.208134509E+00  0.992879532E+03
  0.100300000E+03  0.691226197E+01  0.206134767E+00  0.992881603E+03
  0.100400000E+03  0.691219107E+01  0.204154238E+00  0.992883655E+03
  0.100500000E+03  0.691212086E+01  0.202192737E+00  0.992885686E+03
  0.100600000E+03  0.691205131E+01  0.200250081E+00  0.992887699E+03
  0.100700000E+03  0.691198244E+01  0.198326089E+00  0.992889691E+03
  0.100800000E+03  0.691191423E+01  0.196420582E+00  0.992891665E+03
  0.100900000E+03  0.691184667E+01  0.194533382E+00  0.992893620E+03
  0.101000000E+03  0.691177977E+01  0.192664314E+00  0.992895556E+03
  0.101100000E+03  0.691171351E+01  0.190813204E+00  0.992897473E+03
  0.101200000E+03  0.691164788E+01  0.188979878E+00  0.992899372E+03
  0.101300000E+03  0.691158289E+01  0.187164166E+00  0.992901253E+03
  0.101400000E+03  0.691151852E+01  0.185365898E+00  0.992903116E+03
  0.101500000E+03  0.691145477E+01  0.183584908E+00  0.992904960E+03
  0.101600000E+03  0.691139163E+01  0.181821029E+00  0.992906787E+03
  0.101700000E+03  0.691132910E+01  0.180074097E+00  0.992908597E+03
  0.101800000E+03  0.691126718E+01  0.178343948E+00  0.992910389E+03
  0.101900000E+03  0.691120584E+01  0.176630422E+00  0.992912164E+03
  0.102000000E+03  0.691114510E+01  0.174933360E+00  0.992913922E+03
  0.102100000E+03  0.691108494E+01  0.173252602E+00  0.992915662E+03
  0.102200000E+03  0.691102536E+01  0.171587992E+00  0.992917387E+03
  0.102300000E+03  0.691096636E+01  0.169939375E+00  0.992919094E+03
  0.102400000E+03  0.691090792E+01  0.168306598E+00  0.992920785E+03
  0.102500000E+03  0.691085004E+01  0.166689508E+00  0.992922460E+03
  0.102600000E+03  0.691079272E+01  0.165087955E+00  0.992924119E+03
  0.102700000E+03  0.691073595E+01  0.163501788E+00  0.992925762E+03
  0.102800000E+03  0.691067972E+01  0.161930862E+00  0.992927389E+03
  0.102900000E+03  0.691062404E+01  0.160375028E+00  0.992929001E+03
  0.103000000E+03  0.691056889E+01  0.158834142E+00  0.992930597E+03
  0.103100000E+03  0.691051428E+01  0.157308061E+00  0.992932178E+03
  0.103200000E+03  0.691046018E+01  0.155796642E+00  0.992933743E+03
  0.103300000E+03  0.691040661E+01  0.154299744E+00  0.992935294E+03
  0.103400000E+03  0.691035356E+01  0.152817228E+00  0.992936829E+03
  0.103500000E+03  0.691030101E+01  0.151348956E+00  0.992938350E+03
  0.103600000E+03  0.691024897E+01  0.149894790E+00  0.992939856E+03
  0.103700000E+03  0.691019743E+01  0.148454596E+00  0.992941348E+03
  0.103800000E+03  0.691014638E+01  0.147028239E+00  0.992942825E+03
  0.103900000E+03  0.691009583E+01  0.145615586E+00  0.992944289E+03
  0.104000000E+03  0.691004576E+01  0.144216505E+00  0.992945738E+03
  0.104100000E+03  0.690999617E+01  0.142830866E+00  0.992947173E+03
  0.104200000E+03  0.690994706E+01  0.141458541E+00  0.992948594E+03
  0.104300000E+03  0.690989842E+01  0.140099400E+00  0.992950002E+03
  0.104400000E+03  0.690985025E+01  0.138753318E+00  0.992951396E+03
  0.104500000E+03  0.690980254E+01  0.137420169E+00  0.992952777E+03
  0.104600000E+03  0.690975529E+01  0.136099828E+00  0.992954145E+03
  0.104700000E+03  0.690970850E+01  0.134792173E+00  0.992955499E+03
  0.104800000E+03  0.690966216E+01  0.133497082E+00  0.992956841E+03
  0.104900000E+03  0.690961626E+01  0.132214433E+00  0.992958169E+03
  0.105000000E+03  0.690957080E+01  0.130944109E+00  0.992959485E+03
  0.105100000E+03  0.690952578E+01  0.129685989E+00  0.992960788E+03
  0.105200000E+03  0.690948119E+01  0.128439957E+00  0.992962079E+03
  0.105300000E+03  0.690943703E+01  0.127205896E+00  0.992963357E+03
  0.105400000E+03  0.690939330E+01  0.125983693E+00  0.992964623E+03
  0.105500000E+03  0.690934998E+01  0.124773232E+00  0.992965877E+03
  0.105600000E+03  0.690930709E+01  0.123574401E+00  0.992967119E+03
  0.105700000E+03  0.690926460E+01  0.122387088E+00  0.992968348E+03
  0.105800000E+03  0.690922252E+01  0.121211183E+00  0.992969566E+03
  0.105900000E+03  0.690918085E+01  0.120046576E+00  0.992970773E+03
  0.106000000E+03  0.690913958E+01  0.118893158E+00  0.992971967E+03
  0.106100000E+03  0.690909871E+01  0.117750822E+00  0.992973150E+03
  0.106200000E+03  0.690905822E+01  0.116619461E+00  0.992974322E+03
  0.106300000E+03  0.690901813E+01  0.115498971E+00  0.992975483E+03
  0.106400000E+03  0.690897842E+01  0.114389246E+00  0.992976632E+03
  0.106500000E+03  0.690893910E+01  0.113290183E+00  0.992977771E+03
  0.106600000E+03  0.690890015E+01  0.112201679E+00  0.992978898E+03
  0.106700000E+03  0.690886158E+01  0.111123634E+00  0.992980015E+03
  0.106800000E+03  0.690882338E+01  0.110055947E+00  0.992981121E+03
  0.106900000E+03  0.690878554E+01  0.108998518E+00  0.992982216E+03
  0.107000000E+03  0.690874807E+01  0.107951249E+00  0.992983301E+03
  0.107100000E+03  0.690871096E+01  0.106914042E+00  0.992984375E+03
  0.107200000E+03  0.690867421E+01  0.105886800E+00  0.992985439E+03
  0.107300000E+03  0.690863780E+01  0.104869428E+00  0.992986493E+03
  0.107400000E+03  0.690860175E+01  0.103861830E+00  0.992987536E+03
  0.107500000E+03  0.690856605E+01  0.102863914E+00  0.992988570E+03
  0.107600000E+03  0.690853069E+01  0.101875585E+00  0.992989594E+03
  0.107700000E+03  0.690849567E+01  0.100896753E+00  0.992990608E+03
  0.107800000E+03  0.690846098E+01  0.999273245E-01  0.992991612E+03
  0.107900000E+03  0.690842663E+01  0.989672106E-01  0.992992606E+03
  0.108000000E+03  0.690839261E+01  0.980163214E-01  0.992993591E+03
  0.108100000E+03  0.690835892E+01  0.970745683E-01  0.992994567E+03
  0.108200000E+03  0.690832555E+01  0.961418635E-01  0.992995533E+03
  0.108300000E+03  0.690829250E+01  0.952181201E-01  0.992996489E+03
  0.108400000E+03  0.690825977E+01  0.943032520E-01  0.992997437E+03
  0.108500000E+03  0.690822735E+01  0.933971739E-01  0.992998375E+03
  0.108600000E+03  0.690819525E+01  0.924998014E-01  0.992999305E+03
  0.108700000E+03  0.690816345E+01  0.916110508E-01  0.993000226E+03
  0.108800000E+03  0.690813196E+01  0.907308393E-01  0.993001137E+03
  0.108900000E+03  0.690810077E+01  0.898590849E-01  0.993002040E+03
  0.109000000E+03  0.690806988E+01  0.889957062E-01  0.993002934E+03
  0.109100000E+03  0.690803929E+01  0.881406229E-01  0.993003820E+03
  0.109200000E+03  0.690800899E+01  0.872937552E-01  0.993004697E+03
  0.109300000E+03  0.690797899E+01  0.864550242E-01  0.993005566E+03
  0.109400000E+03  0.690794927E+01  0.856243517E-01  0.993006426E+03
  0.109500000E+03  0.690791984E+01  0.848016604E-01  0.993007279E+03
  0.109600000E+03  0.690789069E+01  0.839868734E-01  0.993008122E+03
  0.109700000E+03  0.690786182E+01  0.831799149E-01  0.993008958E+03
  0.109800000E+03  0.690783323E+01  0.823807097E-01  0.993009786E+03
  0.109900000E+03  0.690780491E+01  0.815891832E-01  0.993010606E+03
  0.110000000E+03  0.690777687E+01  0.808052618E-01  0.993011418E+03
  0.110100000E+03  0.690774909E+01  0.800288722E-01  0.993012222E+03
  0.110200000E+03  0.690772158E+01  0.792599423E-01  0.993013018E+03
  0.110300000E+03  0.690769434E+01  0.784984002E-01  0.993013807E+03
  0.110400000E+03  0.690766736E+01  0.777441750E-01  0.993014588E+03
  0.110500000E+03  0.690764064E+01  0.769971965E-01  0.993015362E+03
  0.110600000E+03  0.690761417E+01  0.762573949E-01  0.993016128E+03
  0.110700000E+03  0.690758796E+01  0.755247013E-01  0.993016887E+03
  0.110800000E+03  0.690756200E+01  0.747990476E-01  0.993017639E+03
  0.110900000E+03  0.690753629E+01  0.740803659E-01  0.993018383E+03
  0.111000000E+03  0.690751083E+01  0.733685893E-01  0.993019121E+03
  0.111100000E+03  0.690748561E+01  0.726636515E-01  0.993019851E+03
  0.111200000E+03  0.690746063E+01  0.719654868E-01  0.993020574E+03
  0.111300000E+03  0.690743590E+01  0.712740301E-01  0.993021290E+03
  0.111400000E+03  0.690741140E+01  0.705892169E-01  0.993021999E+03
  0.111500000E+03  0.690738714E+01  0.699109834E-01  0.993022702E+03
  0.111600000E+03  0.690736311E+01  0.692392665E-01  0.993023398E+03
  0.111700000E+03  0.690733931E+01  0.685740034E-01  0.993024087E+03
  0.111800000E+03  0.690731574E+01  0.679151322E-01  0.993024769E+03
  0.111900000E+03  0.690729240E+01  0.672625915E-01  0.993025445E+03
  0.112000000E+03  0.690726928E+01  0.666163205E-01  0.993026114E+03
  0.112100000E+03  0.690724639E+01  0.659762588E-01  0.993026777E+03
  0.112200000E+03  0.690722371E+01  0.653423469E-01  0.993027434E+03
  0.112300000E+03  0.690720125E+01  0.647145257E-01  0.993028084E+03
  0.112400000E+03  0.690717901E+01  0.640927366E-01  0.993028728E+03
  0.112500000E+03  0.690715698E+01  0.634769217E-01  0.993029366E+03
  0.112600000E+03  0.690713517E+01  0.628670236E-01  0.993029998E+03
  0.112700000E+03  0.690711356E+01  0.622629855E-01  0.993030623E+03
