 #        t           S        I       R
  0.151000000E+02  0.211804268E+03  0.479787260E+03  0.308408472E+03
  0.152000000E+02  0.206782425E+03  0.480010017E+03  0.313207559E+03
  0.153000000E+02  0.201878003E+03  0.480113722E+03  0.318008275E+03
  0.154000000E+02  0.197089456E+03  0.480101098E+03  0.322809445E+03
  0.155000000E+02  0.192415164E+03  0.479974917E+03  0.327609919E+03
  0.156000000E+02  0.187853438E+03  0.479737988E+03  0.332408574E+03
  0.157000000E+02  0.183402529E+03  0.479393152E+03  0.337204319E+03
  0.158000000E+02  0.179060638E+03  0.478943275E+03  0.341996087E+03
  0.159000000E+02  0.174825918E+03  0.478391238E+03  0.346782844E+03
  0.160000000E+02  0.170696485E+03  0.477739933E+03  0.351563581E+03
  0.161000000E+02  0.166670422E+03  0.476992257E+03  0.356337321E+03
  0.162000000E+02  0.162745783E+03  0.476151102E+03  0.361103115E+03
  0.163000000E+02  0.158920605E+03  0.475219353E+03  0.365860041E+03
  0.164000000E+02  0.155192906E+03  0.474199884E+03  0.370607209E+03
  0.165000000E+02  0.151560694E+03  0.473095550E+03  0.375343756E+03
  0.166000000E+02  0.148021970E+03  0.471909183E+03  0.380068847E+03
  0.167000000E+02  0.144574735E+03  0.470643590E+03  0.384781676E+03
  0.168000000E+02  0.141216988E+03  0.469301548E+03  0.389481464E+03
  0.169000000E+02  0.137946736E+03  0.467885803E+03  0.394167461E+03
  0.170000000E+02  0.134761996E+03  0.466399061E+03  0.398838943E+03
  0.171000000E+02  0.131660794E+03  0.464843991E+03  0.403495214E+03
  0.172000000E+02  0.128641173E+03  0.463223223E+03  0.408135604E+03
  0.173000000E+02  0.125701193E+03  0.461539339E+03  0.412759469E+03
  0.174000000E+02  0.122838932E+03  0.459794879E+03  0.417366189E+03
  0.175000000E+02  0.120052492E+03  0.457992335E+03  0.421955173E+03
  0.176000000E+02  0.117339999E+03  0.456134151E+03  0.426525850E+03
  0.177000000E+02  0.114699602E+03  0.454222720E+03  0.431077678E+03
  0.178000000E+02  0.112129480E+03  0.452260385E+03  0.435610135E+03
  0.179000000E+02  0.109627837E+03  0.450249439E+03  0.440122724E+03
  0.180000000E+02  0.107192909E+03  0.448192122E+03  0.444614969E+03
  0.181000000E+02  0.104822962E+03  0.446090619E+03  0.449086419E+03
  0.182000000E+02  0.102516293E+03  0.443947066E+03  0.453536641E+03
  0.183000000E+02  0.100271230E+03  0.441763543E+03  0.457965227E+03
  0.184000000E+02  0.980861347E+02  0.439542079E+03  0.462371786E+03
  0.185000000E+02  0.959594018E+02  0.437284650E+03  0.466755949E+03
  0.186000000E+02  0.938894588E+02  0.434993176E+03  0.471117365E+03
  0.187000000E+02  0.918747671E+02  0.432669528E+03  0.475455705E+03
  0.188000000E+02  0.899138216E+02  0.430315524E+03  0.479770655E+03
